docId,localPath,numeroBloc,nombreBloc,dateEnvoi,consultation
5000,archive_689_num_00001.zip,1,2,12/11/2017,REFERENCE_1
5001,archive_685_num_00001.zip,1,2,12/11/2017,REFERENCE_2
5002,archive_686_num_00002.zip,2,2,12/11/2017,REFERENCE_1
5003,archive_688_num_00002.zip,2,2,12/11/20177,REFERENCE_1
5004,archive_690_num_00003.zip,3,2,12/11/2017,REFERENCE_1
5005,archive_690_num_00003.zip,3,2,12/11/2017,REFERENCE_1
5005,archive_690_num_00003.zip,3,2,12/11/2017,REFERENCE_1
5006,archive_690_num_00003.zip,3,2,12/11/2017,REFERENCE_1
6000,archive_6000_num_00004.zip,4,4,12/11/2017,REFERENCE_1
6001,archive_6000_num_00005.zip,1,1,12/11/2017,REFERENCE_11
6002,archive_6000_num_00006.zip,1,3,12/11/2017,REFERENCE_12
6004,archive_6004_num_00004.zip,3,3,12/11/2017,REFERENCE_12
6003,archive_6003_num_00007.zip,2,3,12/11/2017,REFERENCE_12
1002,archive_1000_num_00008.zip,4,2,12/11/2017,REFERENCE_21
1003,archive_1003_num_00009.zip,4,2,12/11/2017,REFERENCE_22
